Timestamp,Data,Type,Camera,Time (seconds)
2025-06-09 14:39:22,2240100101,CODE39,Cam1,127
2025-06-09 14:39:22,2240113101,CODE39,Cam1,127
2025-06-09 14:39:22,2240089101,CODE39,Cam1,127
2025-06-09 15:40:55,2240068101,CODE39,Cam1,18
2025-06-09 15:50:15,2240068101,CODE39,Cam1,43
2025-06-09 15:51:50,2240081101,CODE39,Cam2,139
2025-06-09 17:32:04,2240068101,CODE39,Cam2,18
2025-06-09 17:32:13,2240117101,CODE39,Cam2,27
2025-06-09 17:32:28,224011,CODE39,Cam1,42
2025-06-09 17:32:29,2240089101,CODE39,Cam1,42
2025-06-09 17:32:29,2240100101,CODE39,Cam1,42
2025-06-09 17:32:29,22U0117101,CODE39,Cam1,43
2025-06-09 17:32:30,2240113101,CODE39,Cam1,44
2025-06-09 17:33:05,2240086101,CODE39,Cam1,79
2025-06-09 17:33:05,2240111101,CODE39,Cam1,79
2025-06-09 17:33:11,2240100101,CODE39,Cam2,85
2025-06-09 17:33:11,2240113101,CODE39,Cam2,85
2025-06-09 17:33:11,2240089101,CODE39,Cam2,85
2025-06-09 17:33:11,2240117101,CODE39,Cam2,85
2025-06-09 17:33:17,2240100101,CODE39,Cam2,90
2025-06-09 17:33:17,2240113101,CODE39,Cam2,90
2025-06-09 17:33:17,2240089101,CODE39,Cam2,90
2025-06-09 17:33:17,2240117101,CODE39,Cam2,90
2025-06-09 17:33:19,2240100101,CODE39,Cam2,92
2025-06-09 17:33:19,2240113101,CODE39,Cam2,92
2025-06-09 17:33:19,2240089101,CODE39,Cam2,92
2025-06-09 17:33:19,2240117101,CODE39,Cam2,92
2025-06-09 17:33:19,2240100101,CODE39,Cam2,93
2025-06-09 17:33:19,2240113101,CODE39,Cam2,93
2025-06-09 17:33:19,2240089101,CODE39,Cam2,93
2025-06-09 17:33:19,2240117101,CODE39,Cam2,93
2025-06-09 17:33:19,2240100101,CODE39,Cam2,93
2025-06-09 17:33:19,2240113101,CODE39,Cam2,93
2025-06-09 17:33:19,2240089101,CODE39,Cam2,93
2025-06-09 17:33:19,2240117101,CODE39,Cam2,93
2025-06-09 17:33:20,2240100101,CODE39,Cam2,94
2025-06-09 17:33:20,2240113101,CODE39,Cam2,94
2025-06-09 17:33:20,2240089101,CODE39,Cam2,94
2025-06-09 17:33:20,2240117101,CODE39,Cam2,94
2025-06-09 17:33:21,2240100101,CODE39,Cam2,94
2025-06-09 17:33:21,2240113101,CODE39,Cam2,94
2025-06-09 17:33:21,2240089101,CODE39,Cam2,94
2025-06-09 17:33:21,2240117101,CODE39,Cam2,94
2025-06-09 17:33:21,2240100101,CODE39,Cam2,95
2025-06-09 17:33:21,2240113101,CODE39,Cam2,95
2025-06-09 17:33:21,2240089101,CODE39,Cam2,95
2025-06-09 17:33:21,2240117101,CODE39,Cam2,95
2025-06-09 17:33:23,2240100101,CODE39,Cam2,97
2025-06-09 17:33:23,2240113101,CODE39,Cam2,97
2025-06-09 17:33:23,2240089101,CODE39,Cam2,97
2025-06-09 17:33:23,2240117101,CODE39,Cam2,97
2025-06-09 17:33:24,2240100101,CODE39,Cam2,97
2025-06-09 17:33:24,2240113101,CODE39,Cam2,97
2025-06-09 17:33:24,2240089101,CODE39,Cam2,97
2025-06-09 17:33:24,2240100101,CODE39,Cam2,97
2025-06-09 17:33:24,2240113101,CODE39,Cam2,97
2025-06-09 17:33:24,2240089101,CODE39,Cam2,97
2025-06-09 17:33:24,2240100101,CODE39,Cam2,98
2025-06-09 17:33:24,2240113101,CODE39,Cam2,98
2025-06-09 17:33:24,2240089101,CODE39,Cam2,98
2025-06-09 17:33:24,2240100101,CODE39,Cam2,98
2025-06-09 17:33:24,2240113101,CODE39,Cam2,98
2025-06-09 17:33:24,2240089101,CODE39,Cam2,98
2025-06-09 17:33:24,2240100101,CODE39,Cam2,98
2025-06-09 17:33:24,2240113101,CODE39,Cam2,98
2025-06-09 17:33:24,2240089101,CODE39,Cam2,98
2025-06-09 17:33:24,2240117101,CODE39,Cam2,98
2025-06-09 17:33:24,2240100101,CODE39,Cam2,98
2025-06-09 17:33:24,2240113101,CODE39,Cam2,98
2025-06-09 17:33:24,2240089101,CODE39,Cam2,98
2025-06-09 17:33:24,2240100101,CODE39,Cam2,98
2025-06-09 17:33:24,2240113101,CODE39,Cam2,98
2025-06-09 17:33:24,2240089101,CODE39,Cam2,98
2025-06-09 17:33:24,2240100101,CODE39,Cam2,98
2025-06-09 17:33:24,2240113101,CODE39,Cam2,98
2025-06-09 17:33:24,2240089101,CODE39,Cam2,98
2025-06-09 17:33:24,2240117101,CODE39,Cam2,98
2025-06-09 17:33:24,2240100101,CODE39,Cam2,98
2025-06-09 17:33:24,2240113101,CODE39,Cam2,98
2025-06-09 17:33:24,2240089101,CODE39,Cam2,98
2025-06-09 17:33:24,2240117101,CODE39,Cam2,98
2025-06-09 17:33:24,2240100101,CODE39,Cam2,98
2025-06-09 17:33:24,2240113101,CODE39,Cam2,98
2025-06-09 17:33:24,2240089101,CODE39,Cam2,98
2025-06-09 17:33:24,2240117101,CODE39,Cam2,98
2025-06-09 17:33:24,2240100101,CODE39,Cam2,98
2025-06-09 17:33:24,2240113101,CODE39,Cam2,98
2025-06-09 17:33:24,2240089101,CODE39,Cam2,98
2025-06-09 17:33:24,2240117101,CODE39,Cam2,98
2025-06-09 17:33:25,2240100101,CODE39,Cam2,98
2025-06-09 17:33:25,2240113101,CODE39,Cam2,98
2025-06-09 17:33:25,2240089101,CODE39,Cam2,98
2025-06-09 17:33:25,2240117101,CODE39,Cam2,98
2025-06-09 17:33:25,2240100101,CODE39,Cam2,98
2025-06-09 17:33:25,2240113101,CODE39,Cam2,98
2025-06-09 17:33:25,2240089101,CODE39,Cam2,98
2025-06-09 17:33:25,2240117101,CODE39,Cam2,98
2025-06-09 17:33:25,2240100101,CODE39,Cam2,98
2025-06-09 17:33:25,2240113101,CODE39,Cam2,98
2025-06-09 17:33:25,2240089101,CODE39,Cam2,98
2025-06-09 17:33:25,2240117101,CODE39,Cam2,98
2025-06-09 17:33:25,2240100101,CODE39,Cam2,98
2025-06-09 17:33:25,2240113101,CODE39,Cam2,98
2025-06-09 17:33:25,2240089101,CODE39,Cam2,98
2025-06-09 17:33:25,2240117101,CODE39,Cam2,98
2025-06-09 17:33:25,2240100101,CODE39,Cam2,98
2025-06-09 17:33:25,2240113101,CODE39,Cam2,98
2025-06-09 17:33:25,2240089101,CODE39,Cam2,98
2025-06-09 17:33:25,2240117101,CODE39,Cam2,98
2025-06-09 17:33:25,2240100101,CODE39,Cam2,98
2025-06-09 17:33:25,2240113101,CODE39,Cam2,98
2025-06-09 17:33:25,2240089101,CODE39,Cam2,98
2025-06-09 17:33:25,2240117101,CODE39,Cam2,98
2025-06-09 17:33:25,2240100101,CODE39,Cam2,99
2025-06-09 17:33:25,2240113101,CODE39,Cam2,99
2025-06-09 17:33:25,2240089101,CODE39,Cam2,99
2025-06-09 17:33:25,2240117101,CODE39,Cam2,99
2025-06-09 17:33:32,2240111101,CODE39,Cam2,106
2025-06-09 17:33:48,2240146101,CODE39,Cam1,122
2025-06-09 17:33:49,2240141101,CODE39,Cam1,123
2025-06-09 17:34:09,2240081101,CODE39,Cam2,142
